Frame,Number of Faces,Bounding Box Coordinates
90,3,"(817, 625, 935, 743); (330, 307, 502, 479); (1259, 37, 1315, 93)"
91,2,"(815, 623, 936, 744); (328, 308, 500, 480)"
92,2,"(815, 623, 936, 744); (328, 308, 500, 480)"
93,2,"(815, 623, 936, 744); (328, 308, 500, 480)"
94,2,"(815, 623, 936, 744); (328, 308, 500, 480)"
95,2,"(815, 623, 936, 744); (328, 308, 500, 480)"
96,2,"(815, 623, 936, 744); (328, 308, 500, 480)"
97,2,"(815, 623, 936, 744); (328, 308, 500, 480)"
98,2,"(815, 623, 936, 744); (328, 308, 500, 480)"
99,2,"(815, 623, 936, 744); (328, 308, 500, 480)"
100,2,"(815, 623, 936, 744); (328, 308, 500, 480)"
101,2,"(815, 623, 936, 744); (328, 308, 500, 480)"
102,2,"(815, 623, 936, 744); (328, 308, 500, 480)"
103,2,"(815, 623, 936, 744); (328, 308, 500, 480)"
104,2,"(815, 623, 936, 744); (328, 308, 500, 480)"
